NM_MUNICIP;;;
Joinville;joinville;br_joinville;Polygon ((-49.041328000187 -26.1137839988324,-48.8231338072794 -26.1199928004273,-48.7941969998916 -26.1327789988517,-48.7601268712581 -26.1893725599956,-48.7398857984908 -26.2863571608543,-48.7581245316218 -26.297705276777,-48.7231162976789 -26.342208554681,-48.7359730263341 -26.3578000946986,-48.765301000141 -26.351860998886,-48.8027549997434 -26.3693389990955,-48.8238830001004 -26.3984979992832,-48.8019547074438 -26.41595146239,-48.8283932926163 -26.4513138313682,-48.8768416175466 -26.3804569002657,-48.9225557552439 -26.3793343511993,-48.9343585225278 -26.4195482424574,-49.0052713500927 -26.3846484973303,-49.0208884200645 -26.3503856412843,-48.9968292305845 -26.3113322432883,-49.066325749134 -26.314843692982,-49.0348576631506 -26.2613500445689,-49.0626890679461 -26.2963453597505,-49.0819948295976 -26.2950061451174,-49.0949693955212 -26.3281615454189,-49.1019688010193 -26.2932723646279,-49.1446821879326 -26.3160484032112,-49.1755790002706 -26.2640879990619,-49.1689749996964 -26.2184029993988,-49.2001939995534 -26.2207849995281,-49.1921439997457 -26.2010609991657,-49.1564726686787 -26.1998906385421,-49.1909149997274 -26.1453489993568,-49.1597810001929 -26.1329599991046,-49.1618359996316 -26.1130449989275,-49.1375219998404 -26.1171989989346,-49.1303629997526 -26.0998919994162,-49.073641000132 -26.0745419995136,-49.0523850001676 -26.0770749994116,-49.041328000187 -26.1137839988324))
Juiz de For a;juizdefora;br_juizdefora;Polygon ((-43.4506859995592 -21.520535996539,-43.4311509998187 -21.5399069959111,-43.4015899999785 -21.5363609960631,-43.3576930000319 -21.5877739963728,-43.3554570003403 -21.636407996232,-43.324581000113 -21.6627959963381,-43.3015569995558 -21.6537019960502,-43.2799129996852 -21.6862639957867,-43.2589109997428 -21.6811049961986,-43.2632290001182 -21.7463589962706,-43.2404989996291 -21.7518379962265,-43.2489499999425 -21.7691169962523,-43.1875870003398 -21.7428639960765,-43.1691980003874 -21.7616309963734,-43.1771239998727 -21.7935189965044,-43.146931999712 -21.8124699962933,-43.1887839997817 -21.8545699961084,-43.2089980002575 -21.8412289960213,-43.2369800001268 -21.8617539964497,-43.2513590004175 -21.8283159958864,-43.2735520004244 -21.8388409965147,-43.2811950003489 -21.8225179965083,-43.3410051046018 -21.8107264033008,-43.3907090000203 -21.8457199962808,-43.3745700004051 -21.8959599964566,-43.4049249999887 -21.8771299959525,-43.4180580003764 -21.8939319964644,-43.4167139995514 -21.8542599962018,-43.4432460000028 -21.8590769962063,-43.4569549999732 -21.8879929959799,-43.4978079998393 -21.8807059962846,-43.4912460003026 -21.9378109964803,-43.5851270003108 -21.9989249962915,-43.5954600001788 -21.9782759964401,-43.578525999875 -21.9536949960272,-43.6084239999676 -21.905394996282,-43.6532670003717 -21.9014769963662,-43.6371679999032 -21.8846779959927,-43.665456000394 -21.8532449961596,-43.6295300002093 -21.8153609965127,-43.6668580002964 -21.7543249958019,-43.6601139995614 -21.7230779964523,-43.6794869999251 -21.7142099957946,-43.6700400004456 -21.6700819959873,-43.6852450001566 -21.6612799956752,-43.6846499996977 -21.6285869961929,-43.6560180004303 -21.597086995968,-43.6210199998731 -21.6140999963177,-43.608528000267 -21.6402179965633,-43.5978479996854 -21.6148769961764,-43.5422269995763 -21.6208159957616,-43.5163714170072 -21.5883139412354,-43.5113179996259 -21.5603459959709,-43.4896949998243 -21.5490659964985,-43.4946299998746 -21.5311869957832,-43.475802000362 -21.542628996431,-43.4506859995592 -21.520535996539))
Lauro de Freitas;lauro de freitas;br_laurodefreitas;Polygon ((-38.2820620566186 -12.8792842751491,-38.3043133192043 -12.9108916894998,-38.340617064326 -12.9039975046811,-38.3548630063227 -12.8946656274167,-38.3547448920631 -12.8356020324078,-38.3788940416267 -12.8225714072446,-38.3322782328541 -12.8123256173333,-38.2820620566186 -12.8792842751491))
Maceio;maceio;br_maceio;Polygon ((-35.6948258077648 -9.66478531169275,-35.7240624886929 -9.68464603238846,-35.7287969758997 -9.67165745772547,-35.7516607937106 -9.67605128353983,-35.7945054159921 -9.71313955944305,-35.7692901812968 -9.63638172044,-35.8158556451219 -9.5770965010027,-35.784937548529 -9.5112236198741,-35.7696055402635 -9.38959344817903,-35.7457606079656 -9.38413694296548,-35.6876860594641 -9.37084708282657,-35.6650471414124 -9.4301734048787,-35.625796740627 -9.44796600232911,-35.6176283369781 -9.46967742617221,-35.5585991743124 -9.48800980570792,-35.6758760184634 -9.59897873488069,-35.6972072125428 -9.63519675572564,-35.6948258077648 -9.66478531169275))
Maringa;maringa;br_maringa;Polygon ((-51.9657180750291 -23.2538646010705,-51.8987134519642 -23.30391817988,-51.8689710669611 -23.2875758309598,-51.8699882424634 -23.3046129331403,-51.83580649987 -23.3210372687549,-51.8506704253997 -23.3367197149428,-51.8398810456737 -23.406529436784,-51.8779185371108 -23.4159342931331,-51.9056409215912 -23.4768539359603,-51.9504041071638 -23.4858789987168,-51.9698671287649 -23.5205121074478,-51.9806518688886 -23.5148742314606,-51.9959923928346 -23.5580017768605,-52.1002707410019 -23.5196632841332,-52.0704872488874 -23.484235798843,-52.0064708400572 -23.4549080102964,-52.0949863291557 -23.4003380424666,-52.0737283794611 -23.3754776110029,-52.0761842696883 -23.3467355572001,-52.0094407944571 -23.3122326154428,-51.9775209358424 -23.2966639442856,-51.9657180750291 -23.2538646010705))
Mogi das Cruzes;mogi das cruzes;br_mogidascruzes;Polygon ((-46.1142659999759 -23.4384070002828,-46.1056049998708 -23.4553789996411,-46.0739580000616 -23.4523999998601,-46.0537750001161 -23.473508000194,-46.071409000325 -23.5118379997239,-46.1079629997926 -23.5112460003026,-46.0996210000091 -23.5241160002532,-46.1121260002147 -23.5407890002122,-46.0880099996617 -23.5754309996409,-46.0884259999599 -23.6386369996977,-46.1031380003184 -23.665714000101,-46.0826889997975 -23.6647489996665,-46.0827429995897 -23.6830479999652,-46.1009049998658 -23.7184500002672,-46.1261199998381 -23.7128950004039,-46.194087000015 -23.7542279999222,-46.2387609998202 -23.7353590003175,-46.2579830004151 -23.7661860000838,-46.2783909999446 -23.7703070003677,-46.2944719995831 -23.7487890000123,-46.3219270003307 -23.744429000398,-46.2660779996 -23.6848310003504,-46.2545460001977 -23.6516299999245,-46.2850969998266 -23.5659500003921,-46.2633770000485 -23.5345300002593,-46.2651360002262 -23.4889120000887,-46.2888219998354 -23.4891049999957,-46.2869259996351 -23.4598340000391,-46.2411130003646 -23.3925489998364,-46.1773479997104 -23.3579660004305,-46.1573701980761 -23.3428423758749,-46.1605009998212 -23.3882749996914,-46.1420889997075 -23.4153269998411,-46.1518579996469 -23.4298749998313,-46.1142659999759 -23.4384070002828))
Nova Lima;nova lima;br_novalima;Polygon ((-43.834172999884 -19.9274269964587,-43.8398489999313 -19.954921996353,-43.8124210004288 -20.0111509966212,-43.7829819999193 -20.0290139965986,-43.8483960001752 -20.0975189964045,-43.8543369998526 -20.1438489961342,-43.8734699999405 -20.1606539958852,-43.8541080000841 -20.1976199963657,-43.9760839997767 -20.2226899959465,-43.9720299998846 -20.138781996292,-43.996132999838 -20.0364499959705,-43.9397109870724 -19.975368785441,-43.8701060003916 -19.9278729963416,-43.8503569997757 -19.9288879963839,-43.834172999884 -19.9274269964587))
Palmas;palmas;br_palmas;Polygon ((-48.3710287111061 -9.91807175141014,-48.3091924216928 -9.94179513763544,-48.2873982305439 -9.9284172104858,-48.2860699705527 -9.9662627758064,-48.2635192157392 -9.98295952056537,-48.2222607592266 -9.95931454443064,-48.201101237632 -10.0163738284893,-48.162350580215 -10.0609284325011,-48.1834611409189 -10.1127051528205,-48.1717573835963 -10.1350518928305,-48.1499633111578 -10.1346026949583,-48.1282078160378 -10.108524150669,-48.0270990034163 -10.1174107403133,-48.0132360377129 -10.1238971185571,-48.0144658561143 -10.1739866639533,-47.9800191606557 -10.1716226097956,-47.979023031088 -10.1828010344402,-47.9541584807292 -10.156164471613,-47.8963804710818 -10.1369500792827,-47.9025936982405 -10.1080000473643,-47.8835465663209 -10.111918555397,-47.8771279600873 -10.0924374790064,-47.8461845134045 -10.0787637531446,-47.8341790713071 -10.0272694217464,-47.8196684750201 -10.0196002209734,-47.8036053044412 -10.0480126309781,-47.8104347074957 -10.0991034446682,-47.7932941679914 -10.1726052540292,-47.8303455977711 -10.2628263334685,-47.8585973735699 -10.2894388601152,-47.855070513993 -10.3118273547486,-47.9396406547924 -10.2991484121694,-47.9953974093629 -10.3431668547665,-48.0217240784034 -10.3898854632435,-48.0473822966556 -10.3893903109141,-48.0836806134695 -10.4601889056934,-48.1405232004853 -10.4581421548365,-48.1902980335274 -10.3788128870051,-48.2663806354579 -10.4119483322497,-48.3670373858666 -10.4103460191534,-48.4075180349294 -10.3691840518025,-48.4033545461753 -10.2959148062233,-48.3826373903033 -10.2428902073171,-48.4138528944954 -10.2229842525212,-48.4227409131625 -10.1979844207444,-48.3835102668853 -10.0786432062189,-48.3358925935683 -10.0338303061237,-48.3436315493565 -9.98896468777008,-48.3743115657261 -9.94459627489812,-48.3710287111061 -9.91807175141014))
Porto Seguro;porto seguro;br_portoseguro;Polygon ((-39.0342822357366 -16.3876071915186,-39.0611473783488 -16.4335988069394,-39.1036793926898 -16.6983661546743,-39.1416375081644 -16.7599363751635,-39.1418636310017 -16.8678158336338,-39.117633598212 -16.8934152677004,-39.1401484988541 -16.8947097176793,-39.166237762163 -16.928762544256,-39.2396271850465 -16.9182788117178,-39.2920738220492 -16.8880411457822,-39.4025231993861 -16.9155372572386,-39.4398503226342 -16.9057429917456,-39.444117192954 -16.8906112957746,-39.4691889740918 -16.9243696681256,-39.49011056565 -16.9276242489599,-39.5052537288764 -16.9022895033578,-39.4921777374126 -16.8880116651062,-39.5079578769544 -16.8751940614567,-39.4791649251212 -16.8292491505278,-39.4861931188173 -16.7972103727604,-39.4690998386866 -16.7629451317124,-39.4261331442292 -16.744665445254,-39.3373962033721 -16.784537086917,-39.5759444616675 -16.4712750164288,-39.4892903389779 -16.3842582034533,-39.4152014063198 -16.3972895795504,-39.2546879919572 -16.3677653574852,-39.1786927348818 -16.3942551410619,-39.1144263352072 -16.3621111174341,-39.0247515282604 -16.3513875752763,-39.0054258151492 -16.3410834967059,-39.0079075923614 -16.3742856257809,-39.0342822357366 -16.3876071915186))
Sao Jose;sao jose;br_saojose;Polygon ((-48.5770801624195 -27.5118818714512,-48.5686107556818 -27.5466822702705,-48.6062837491957 -27.5891172909302,-48.6026720970396 -27.6626044926032,-48.6382280136119 -27.6505417600941,-48.6675015217778 -27.6066908360132,-48.6714206836176 -27.6196705766358,-48.7460722825098 -27.6154603519137,-48.7172196291825 -27.5280011120616,-48.6800604696149 -27.5222916977036,-48.6539342234856 -27.5445789781373,-48.6309732258336 -27.5298655163804,-48.5770801624195 -27.5118818714512))
Teresina;teresina;br_teresina;Polygon ((-42.7313893404457 -4.82382306098543,-42.7128648918012 -4.90564201556651,-42.6017953482767 -4.9042777314321,-42.6015257773927 -5.25187983058964,-42.6337243197215 -5.24682645727512,-42.6601457521247 -5.27634705417319,-42.6790979111396 -5.27270527113131,-42.7488595723113 -5.33909413198853,-42.7485360951646 -5.5405271113371,-42.8114689324452 -5.50146900808818,-42.8611998030285 -5.55820392467132,-42.8559517192963 -5.57050790931254,-42.9146476246881 -5.55604486737667,-42.9417924330743 -5.58660252378741,-42.9706665658093 -5.56170306714279,-42.943353574308 -5.5355188660028,-42.9100611146287 -5.54253592699138,-42.8926947562579 -5.52624027626769,-42.8478245927307 -5.52527453479189,-42.8515261420178 -5.4900848266534,-42.8109298932 -5.49656327827262,-42.7748223369812 -5.44828873203932,-42.7527496114054 -5.35491148277868,-42.8150379315553 -5.31418484935125,-42.8286673765981 -5.23993007181531,-42.7979461487957 -5.18321667241145,-42.8416601834707 -5.03328187355959,-42.8620320104689 -4.97006952069177,-42.8546249647703 -4.93611390453304,-42.8962816887489 -4.88790515989518,-42.8158618328573 -4.78627783055737,-42.7886123748611 -4.81761184021423,-42.7313893404457 -4.82382306098543))
Tubarao;tubarao;br_tubarao;Polygon ((-48.985912823418 -28.4598466336152,-48.9019948574767 -28.5321389474544,-48.9451586500516 -28.5942566527223,-48.9708504471903 -28.573519702772,-48.9679142416489 -28.5549062581173,-48.9970403500321 -28.5572657086455,-49.0183016227217 -28.533461472469,-49.056200675221 -28.5566734897897,-49.1332482847804 -28.4990530377675,-49.1813329148821 -28.5076832333945,-49.1226823389188 -28.4745228526475,-49.1119565358654 -28.4437180337602,-49.1384209999292 -28.4092489991419,-49.1015720003475 -28.362409999322,-49.0708700000504 -28.3964019993527,-49.0240740004148 -28.3978889995776,-49.0107041338886 -28.4171500631249,-48.9755369996328 -28.4240329992235,-48.9676320002166 -28.44469099949,-48.985912823418 -28.4598466336152))
Uberlandia;uberlandia;br_uberlandia;Polygon ((-48.4934910003093 -18.593495996443,-48.4581459999379 -18.6420419967407,-48.4374840003863 -18.6400229962642,-48.441231999657 -18.6582349961481,-48.4099040001694 -18.6667339968764,-48.3968820004039 -18.6336499964501,-48.3307650001046 -18.6328479963379,-48.3229589998579 -18.6586409968845,-48.3360720002226 -18.6605159961163,-48.3151549997035 -18.6756309961735,-48.3238030001083 -18.6908329966454,-48.3099079996544 -18.725300996144,-48.2568930001118 -18.7280449967791,-48.2772619996416 -18.7505189962546,-48.2590060004266 -18.7751389966673,-48.1900939998381 -18.7595739965427,-48.1995070004477 -18.7899869961029,-48.1682950000142 -18.7757579964343,-48.15186499957 -18.8143669962398,-48.1367379998588 -18.7861379966712,-48.1331909999647 -18.812157996894,-48.1129910001345 -18.8012039962674,-48.0948469997892 -18.8254349967277,-48.1110440002803 -18.849728996496,-48.0828559999044 -18.8445589964005,-48.0793340002639 -18.8881999962328,-48.0427199998281 -18.8861009965637,-48.0457199996782 -18.9119739963028,-48.0149469997043 -18.9073639968509,-48.0129870001499 -19.0004209966316,-47.9931889999723 -18.9934459969352,-47.9600980001226 -19.0203859964166,-47.9810779999497 -19.0476049961736,-47.9461899999685 -19.0457059967343,-47.9562479997454 -19.0695019969196,-47.9319119998389 -19.0681289965559,-47.9108770001734 -19.1056589960658,-47.9205979996979 -19.1347299966919,-47.9033080000641 -19.2679079967566,-47.929604999571 -19.2661119966713,-47.9575670003168 -19.3361809966556,-47.9843630003521 -19.3206109963004,-47.9998260002696 -19.2554019965049,-48.0807829996357 -19.2443879967086,-48.1075639998787 -19.1788249967761,-48.1870990002187 -19.1484579966392,-48.1889619997964 -19.1716519960427,-48.2293370001024 -19.1907649961076,-48.2263600004136 -19.2180939964408,-48.2664530003057 -19.2359399965335,-48.308707000028 -19.2841059963946,-48.3429819996196 -19.2823529964936,-48.3186560001742 -19.3187979963304,-48.3328669999121 -19.3471539963598,-48.3468000003197 -19.3464519963625,-48.3400860000688 -19.399776996711,-48.3668579998967 -19.4164989962317,-48.3993000003946 -19.4103329960708,-48.4588029996586 -19.3732629961902,-48.4765450003515 -19.3457699963882,-48.463232999803 -19.3289859967064,-48.5700239998077 -19.2304829966929,-48.672292999922 -19.1894319966892,-48.6943289998834 -19.1955009968735,-48.8167529995512 -19.1124649960627,-48.8235540002169 -19.1033509966511,-48.7967259996051 -19.0849099960994,-48.7059259995852 -19.0739099969488,-48.6442669998222 -18.9923839965242,-48.6334969995868 -18.9541499969248,-48.5717809998932 -18.9943669962398,-48.5399869996003 -18.9694459963356,-48.5199170003692 -18.9065499961853,-48.5586939998282 -18.889729996642,-48.6015729995942 -18.8408709962994,-48.5624620000212 -18.8240659965485,-48.5527540001969 -18.7879669964797,-48.4982430000144 -18.7571549965058,-48.5110786584533 -18.6776824360955,-48.536427 -18.6189479965528,-48.5174400003557 -18.594689996646,-48.4934910003093 -18.593495996443))
Volta Redonda;volta redonda;br_voltaredonda;Polygon ((-44.0287705821966 -22.5183439069457,-44.0865647616544 -22.6405200246793,-44.090010427739 -22.5305190079458,-44.1391192057867 -22.5306240226805,-44.1559460131979 -22.4959105442362,-44.1380511988037 -22.4316641256988,-44.0897159384398 -22.4064082047748,-44.002584569822 -22.4080291958906,-44.0713342382844 -22.4590542898236,-44.0315749156498 -22.4972291059385,-44.0287705821966 -22.5183439069457))
